('FightCardID','WeightClassID','WinnerID','LoserID','TitleBout','TotalRounds'),
('1157','8','1','1','TRUE','5'),
('1157','7','2','2','TRUE','5'),
('1157','9','3','3','FALSE','3'),
('1157','7','4','4','FALSE','3'),
('1157','8','5','5','FALSE','3'),
('1157','6','6','6','FALSE','3'),
('1157','9','7','7','FALSE','3'),
('1157','9','8','8','FALSE','3'),
('1157','7','9','9','FALSE','3'),
('1157','5','10','10','FALSE','3'),
('1158','7','11','11','FALSE','3'),
('1158','5','12','12','FALSE','3'),
('1158','8','13','13','FALSE','3'),
('1158','7','14','14','FALSE','3'),
('1158','7','15','15','FALSE','3'),
('1158','7','16','16','FALSE','3'),
('1158','7','17','17','FALSE','3'),
('1158','7','18','18','FALSE','3'),
('1158','8','19','19','FALSE','3'),
('1158','8','20','20','FALSE','3'),
('1158','9','21','21','FALSE','3'),
('1159','9','22','22','TRUE','5'),
('1159','5','23','23','TRUE','5'),
('1159','7','24','24','FALSE','3'),
('1159','9','25','25','FALSE','3'),
('1159','7','26','26','FALSE','3'),
('1159','9','27','27','FALSE','3'),
('1159','9','28','28','FALSE','3'),
('1159','8','29','29','FALSE','3'),
('1159','6','30','30','FALSE','3'),
('1159','9','31','31','FALSE','3'),
('1160','6','32','32','FALSE','3'),
('1160','5','33','33','FALSE','3'),
('1160','5','34','34','FALSE','3'),
('1160','8','35','35','FALSE','3'),
('1160','7','36','36','FALSE','3'),
('1160','6','37','37','FALSE','3'),
('1160','7','38','38','FALSE','3'),
('1160','9','39','39','FALSE','3'),
('1160','5','40','40','FALSE','3'),
('1160','9','41','41','FALSE','3'),
('1160','6','42','42','FALSE','3'),
